,Title,published_date,views,favoriteCount,likeCount,commentCount,month
195,John Legend - Waiting For Christmas (Official Yule Log),2018-12-20,23009,0,165,3,Dec
196,John Legend - No Place Like Home (Official Yule Log),2018-12-20,66641,0,663,30,Dec
197,John Legend - Please Come Home For Christmas (Official Yule Log),2018-12-20,127631,0,961,39,Dec
198,John Legend - Merry Christmas Baby / Give Love On Christmas Day (Official Yule Log),2018-12-20,52284,0,290,7,Dec
199,John Legend - What Christmas Means To Me (Official Yule Log),2018-12-20,409173,0,2791,38,Dec
200,John Legend - Purple Snowflakes (Official Yule Log),2018-12-20,20492,0,172,9,Dec
201,John Legend - The Christmas Song (Official Yule Log),2018-12-20,21056,0,200,11,Dec
202,John Legend - By Christmas Eve (Official Yule Log),2018-12-20,36812,0,559,37,Dec
203,John Legend - Have Yourself A Merry Little Christmas (Official Yule Log),2018-12-20,6755,0,184,13,Dec
204,John Legend - What Christmas Means to Me (Live from A Legendary Christmas),2018-12-13,831945,0,8122,181,Dec
205,John Legend - Bring Me Love (Live from A Legendary Christmas with John and Chrissy),2018-12-12,2891761,0,28070,573,Dec
206,What Christmas Means to Me (Live from The Tonight Show Starring Jimmy Fallon),2018-12-07,20772,0,409,16,Dec
207,John Legend - Bring Me Love (Lyric Video),2018-12-05,1901272,0,15480,269,Dec
208,John Legend - Have Yourself a Merry Little Christmas (Official Video),2018-11-29,7925111,0,92491,1359,Nov
209,"Crow: The Legend | Animated Movie [HD] | John Legend, Oprah, Liza Koshy",2018-11-15,2169434,0,43862,1121,Nov
210,"Crow: The Legend | Official Trailer [HD] | John Legend, Oprah, Liza Koshy",2018-11-12,102276,0,2055,133,Nov
211,John Legend - Please Come Home For Christmas (Official Audio),2018-10-26,861763,0,4542,126,Oct
212,John Legend - Waiting for Christmas (Official Audio),2018-10-26,324704,0,1164,27,Oct
213,John Legend - No Place Like Home (Official Audio),2018-10-26,555008,0,1743,37,Oct
214,John Legend - Silver Bells (Official Audio),2018-10-26,653064,0,2121,92,Oct
215,John Legend - Christmas Time Is Here (Official Audio),2018-10-26,472412,0,1441,39,Oct
216,John Legend - Purple Snowflakes (Official Audio),2018-10-26,427123,0,1495,81,Oct
217,John Legend - Wrap Me Up in Your Love (Official Audio),2018-10-26,360309,0,1477,66,Oct
218,John Legend - Merry Christmas Baby / Give Love on Christmas Day (Official Audio),2018-10-26,816522,0,1784,32,Oct
219,John Legend - What Christmas Means to Me (Official Audio) ft. Stevie Wonder,2018-10-26,2235119,0,10765,340,Oct
220,John Legend - By Christmas Eve (Official Audio),2018-10-26,876429,0,5944,301,Oct
221,John Legend - The Christmas Song (Chestnuts Roasting On An Open Fire) (Official Audio),2018-10-26,598441,0,2567,84,Oct
222,John Legend - Merry Merry Christmas (Official Audio),2018-10-26,582259,0,1895,81,Oct
223,John Legend - Bring Me Love (Official Audio),2018-10-12,3538368,0,26440,463,Oct
224,John Legend - Have Yourself a Merry Little Christmas (Official Audio),2018-10-12,676646,0,5176,228,Oct
225,"Love In The Future / The Beginning... (Live from iTunes Festival, London, 2013)",2018-06-01,69301,0,1329,53,Jun
226,"John Legend - All of Me (Live from iTunes Festival, London, 2013)",2018-06-01,1348522,0,27289,612,Jun
227,John Legend - A Good Night (Live at the Billboard Music Awards 2018),2018-05-21,265975,0,4218,172,May
228,"John Legend - So High (Live from iTunes Festival, London, 2013)",2018-05-12,125545,0,2659,83,May
229,"John Legend - Ordinary People (Live from iTunes Festival, London, 2013)",2018-05-12,85605,0,1625,75,May
230,"John Legend - Dancing In the Dark (Live from iTunes Festival, London, 2013)",2018-05-12,304733,0,3184,117,May
231,John Legend - A Good Night - Behind the Scenes,2018-04-09,162891,0,2195,130,Apr
232,"John Legend, BloodPop® - A Good Night ft. BloodPop®",2018-04-06,13676805,0,157450,3047,Apr
233,John Legend - Overload (Jimmy Kimmel Live!),2017-12-18,6398,0,458,15,Dec
234,John Legend - Darkness and Light (Jimmy Kimmel Live!),2017-12-15,3126,0,347,7,Dec
235,John Legend - All of Me (Jimmy Kimmel Live!),2017-12-15,11468,0,630,26,Dec
236,John Legend - Love Me Now (Jimmy Kimmel Live!),2017-12-15,3825,0,323,16,Dec
237,John Legend - Penthouse Floor (Jimmy Kimmel Live!),2017-12-15,2154,0,149,8,Dec
238,johnlegendVEVO Live Stream,2017-11-27,0,0,0,0,Nov
239,John Legend - Penthouse Floor - Behind the Scenes,2017-11-08,126501,0,1988,68,Nov
240,John Legend - Penthouse Floor (Video) ft. Chance the Rapper,2017-10-12,13360091,0,121040,2576,Oct
241,John Legend Helps Kids Surprise Their Mom,2017-09-15,25814,0,466,15,Sep
242,John Legend - Surefire (Piano Version) [Audio],2017-06-23,851017,0,17542,274,Jun
243,John Legend - Surefire (Ludwig Goransson Remix) [Audio],2017-06-23,578136,0,12131,300,Jun
244,Father's Day Love Letters with John Legend,2017-06-16,24020,0,448,29,Jun
245,John Legend - Surefire (Video),2017-05-22,15216929,0,242943,6685,May
246,"John Legend - ""What You Do To Me"" Live from Pandora",2017-03-01,105122,0,1202,31,Mar
247,"John Legend - ""Overload"" Live from Pandora",2017-02-24,51131,0,679,22,Feb
248,"John Legend - ""Penthouse Floor"" Live from Pandora",2017-02-16,74862,0,907,29,Feb
249,"John Legend, Cynthia Erivo - God Only Knows (Audio) ft. yMusic",2017-02-13,1651905,0,18291,446,Feb
250,"John Legend - ""Surefire"" Live from Pandora",2017-02-08,52356,0,622,26,Feb
251,"John Legend - ""Love Me Now"" Live from Pandora",2017-02-02,193962,0,2390,68,Feb
252,John Legend - Surefire (Live from the Artists Den),2017-01-25,670496,0,9716,233,Jan
253,John Legend - DARKNESS AND LIGHT: A Conversation with John Legend and Blake Mills,2016-12-09,126736,0,1217,50,Dec
254,John Legend - Green Light (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,702946,0,1574,42,Dec
255,John Legend - Overload (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,186534,0,2242,72,Dec
256,John Legend - All of Me (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,930025,0,11234,225,Dec
257,John Legend - Love Me Now (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,2195245,0,12133,234,Dec
258,John Legend - Surefire (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,161729,0,1856,46,Dec
259,John Legend - Ordinary People (Live on the Honda Stage at iHeartRadio Theater LA),2016-12-07,268161,0,3117,71,Dec
260,John Legend - Overload (Audio) ft. Miguel,2016-12-02,2335913,0,29959,428,Dec
261,John Legend - Marching Into the Dark (Audio),2016-12-02,331911,0,2297,121,Dec
262,John Legend - Darkness and Light (Audio) ft. Brittany Howard,2016-12-02,1715502,0,14060,258,Dec
263,John Legend - Same Old Story (Audio),2016-12-02,399828,0,2855,48,Dec
264,John Legend - How Can I Blame You (Audio),2016-12-02,499642,0,3571,84,Dec
265,John Legend - Temporarily Painless (Audio),2016-12-02,478498,0,3613,89,Dec
266,John Legend - What You Do to Me (Audio),2016-12-02,1195973,0,9846,144,Dec
267,John Legend - Surefire (Audio),2016-12-02,935067,0,9106,162,Dec
268,John Legend - Love Me Now (Armand Van Helden Remix) [Audio],2016-12-01,225806,0,2064,92,Dec
269,John Legend - Love Me Now (Dave Audé Remix) [Audio],2016-12-01,910491,0,10059,167,Dec
270,John Legend - I Know Better (Audio),2016-11-25,1930774,0,25498,538,Nov
271,John Legend - Love Me Now - Behind the Scenes,2016-11-22,467920,0,8450,178,Nov
272,John Legend - Penthouse Floor (Audio) ft. Chance the Rapper,2016-11-16,1507808,0,15996,558,Nov
273,John Legend - Love Me Now (Official Video),2016-11-11,231667189,0,1844323,29293,Nov
274,Love Me Now (Sneak Peak),2016-11-04,82006,0,814,31,Nov
275,John Legend - Love Me Now (Lyric Video),2016-10-07,16278699,0,164519,2492,Oct
276,John Legend - Under The Stars (Live Performance with Stella Artois),2015-12-23,619288,0,8763,171,Dec
277,John Legend - Under The Stars (Created with Stella Artois),2015-12-02,1859742,0,22080,360,Dec
278,"John Legend - The Making of ""Under The Stars"" (Created with Stella Artois)",2015-12-02,122164,0,1305,24,Dec
279,John Legend - Toazted Interview (part 1),2014-08-16,665903,0,1040,66,Aug
280,John Legend - Toazted Interview (part 2),2014-08-16,268022,0,274,19,Aug
281,John Legend - You & I (Nobody In The World) (What Do You See When You Look In The Mirror),2014-07-15,2488403,0,15740,566,Jul
282,John Legend - You & I (Nobody in the World) (Official Video),2014-07-10,117813411,0,801934,16439,Jul
283,"John Legend - All of Me (Audio) ft. Jennifer Nettles, Hunter Hayes",2014-06-12,3119710,0,18236,422,Jun
284,John Legend - You & I (Nobody In The World)( LIVE from Citi ThankYou),2014-05-14,8856793,0,64062,1619,May
285,John Legend - All of Me (LIVE from Citi ThankYou),2014-05-14,3521559,0,27593,680,May
286,John Legend - VEVO News Interview,2014-01-24,141297,0,353,11,Jan
287,John Legend - Vevo Go Shows: All Of Me,2014-01-24,17509329,0,173555,3714,Jan
288,John Legend - All Of Me (Fan Video),2013-10-17,1994715,0,18650,462,Oct
289,John Legend - All of Me (Official Video),2013-10-02,2377897562,0,13148120,255220,Oct
290,John Legend Google Hangout Fan Video,2013-09-17,39232,0,481,63,Sep
